phase,nist,lambda,q_log,hash,ext_e,air,ldt,k,b,r,prove_ms,verify_ms,proof_kib,n_trace,threads,note
1,5,256,40,sha3-512,8,mldsa_v2,fri,4,8,86,NA,NA,NA,NA,10,bench-error
1,5,256,40,sha3-512,8,mldsa_v2,fri,8,4,128,NA,NA,NA,NA,10,bench-error
1,5,256,40,sha3-512,8,mldsa_v2,fri,16,8,86,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,ecdsa,stir,2,4,256,827,1.67,353.0,8,10,
1,5,256,65,sha3-512,8,ecdsa,stir,2,8,171,1606,1.58,407.3,8,10,
1,5,256,65,sha3-512,8,ecdsa,stir,2,16,128,3519,1.28,313.4,8,10,
1,5,256,65,sha3-512,8,ecdsa,stir,4,8,171,1582,1.24,260.3,8,10,
1,5,256,65,sha3-512,8,ecdsa,stir,8,8,171,1591,1.39,191.1,8,10,
1,5,256,65,sha3-512,8,mldsa_v2,stir,2,4,256,9507,719.58,120083.9,NA,10,
1,5,256,65,sha3-512,8,mldsa_v2,stir,2,8,171,17965,491.41,84945.2,NA,10,
1,5,256,65,sha3-512,8,mldsa_v2,stir,2,16,128,34452,410.80,65562.9,NA,10,
1,5,256,65,sha3-512,8,mldsa_v2,stir,4,8,171,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,mldsa_v2,stir,8,4,256,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,mldsa_v2,stir,16,8,171,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,mldsa_v2,fri,4,8,86,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,mldsa_v2,fri,8,4,128,NA,NA,NA,NA,10,bench-error
1,5,256,65,sha3-512,8,mldsa_v2,fri,16,8,86,NA,NA,NA,NA,10,bench-error
2,1,128,40,sha3-256,6,rsa2048,stir,2,16,64,52332,0.60,160.2,4096,10,
2,1,128,40,sha3-256,6,rsa2048,stir,2,32,52,177163,0.52,132.3,4096,10,
2,1,128,40,sha3-256,6,rsa2048,stir,4,16,64,51965,0.63,173.0,4096,10,
2,1,128,40,sha3-256,6,rsa2048,stir,16,16,64,52413,1.04,199.0,4096,10,
2,1,128,40,sha3-256,6,mldsa_v2,stir,2,32,52,25702,81.01,17396.9,NA,10,
2,1,128,40,sha3-256,6,mldsa_v2,stir,4,32,52,NA,NA,NA,NA,10,bench-error
2,1,128,40,sha3-256,6,mldsa_v2,fri,4,32,26,NA,NA,NA,NA,10,bench-error
2,1,128,65,sha3-384,6,rsa2048,stir,2,16,64,53418,0.86,237.5,4096,10,
2,1,128,65,sha3-384,6,rsa2048,stir,2,32,52,185992,0.74,196.0,4096,10,
2,1,128,65,sha3-384,6,rsa2048,stir,4,16,64,52579,0.80,256.2,4096,10,
2,1,128,65,sha3-384,6,rsa2048,stir,16,16,64,53880,1.20,291.1,4096,10,
2,1,128,65,sha3-384,6,mldsa_v2,stir,2,32,52,27939,147.72,29683.6,NA,10,
2,1,128,65,sha3-384,6,mldsa_v2,stir,4,32,52,NA,NA,NA,NA,10,bench-error
2,1,128,65,sha3-384,6,mldsa_v2,fri,4,32,26,NA,NA,NA,NA,10,bench-error
2,1,128,90,sha3-512,6,rsa2048,stir,2,16,64,53341,1.27,314.8,4096,10,
2,1,128,90,sha3-512,6,rsa2048,stir,2,32,52,176680,1.08,259.7,4096,10,
2,1,128,90,sha3-512,6,rsa2048,stir,4,16,64,50828,1.23,339.4,4096,10,
2,1,128,90,sha3-512,6,rsa2048,stir,16,16,64,50328,1.61,383.2,4096,10,
2,1,128,90,sha3-512,6,mldsa_v2,stir,2,32,52,33585,258.78,45174.5,NA,10,
2,1,128,90,sha3-512,6,mldsa_v2,stir,4,32,52,NA,NA,NA,NA,10,bench-error
2,1,128,90,sha3-512,6,mldsa_v2,fri,4,32,26,NA,NA,NA,NA,10,bench-error
2,3,192,40,sha3-384,6,rsa2048,stir,2,16,96,51264,1.24,355.0,4096,10,
2,3,192,40,sha3-384,6,rsa2048,stir,2,32,77,147570,1.05,289.0,4096,10,
2,3,192,40,sha3-384,6,rsa2048,stir,4,16,96,49791,1.17,383.2,4096,10,
2,3,192,40,sha3-384,6,rsa2048,stir,16,16,96,50089,1.75,434.6,4096,10,
2,3,192,40,sha3-384,6,mldsa_v2,stir,2,32,77,32628,157.30,31723.9,NA,10,
2,3,192,40,sha3-384,6,mldsa_v2,stir,4,32,77,NA,NA,NA,NA,10,bench-error
2,3,192,40,sha3-384,6,mldsa_v2,fri,4,32,39,NA,NA,NA,NA,10,bench-error
2,3,192,65,sha3-384,6,rsa2048,stir,2,16,96,50415,1.24,355.0,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,stir,2,32,77,142654,1.03,289.0,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,stir,4,16,96,49936,1.17,383.2,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,rsa2048,stir,16,16,96,50327,1.75,434.6,4096,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,mldsa_v2,stir,2,32,77,32751,158.71,31723.9,NA,10,at-wall(bind=185<192)
2,3,192,65,sha3-384,6,mldsa_v2,stir,4,32,77,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
2,3,192,65,sha3-384,6,mldsa_v2,fri,4,32,39,NA,NA,NA,NA,10,at-wall(bind=185<192);bench-error
2,3,192,90,sha3-512,6,rsa2048,stir,2,16,96,50551,1.85,470.8,4096,10,
2,3,192,90,sha3-512,6,rsa2048,stir,2,32,77,144960,1.56,383.1,4096,10,
2,3,192,90,sha3-512,6,rsa2048,stir,4,16,96,50858,1.78,507.9,4096,10,
2,3,192,90,sha3-512,6,rsa2048,stir,16,16,96,50823,2.36,572.7,4096,10,
2,3,192,90,sha3-512,6,mldsa_v2,stir,2,32,77,40550,284.88,48465.8,NA,10,
2,3,192,90,sha3-512,6,mldsa_v2,stir,4,32,77,NA,NA,NA,NA,10,bench-error
2,3,192,90,sha3-512,6,mldsa_v2,fri,4,32,39,NA,NA,NA,NA,10,bench-error
2,5,256,40,sha3-512,8,rsa2048,stir,2,16,128,51562,2.44,626.8,4096,10,
2,5,256,40,sha3-512,8,rsa2048,stir,2,32,103,154323,2.04,511.5,4096,10,
2,5,256,40,sha3-512,8,rsa2048,stir,4,16,128,50686,2.35,676.4,4096,10,
2,5,256,40,sha3-512,8,rsa2048,stir,16,16,128,50639,3.10,762.2,4096,10,
2,5,256,40,sha3-512,8,mldsa_v2,stir,2,32,103,69087,338.17,53461.0,NA,10,
2,5,256,40,sha3-512,8,mldsa_v2,stir,4,32,103,NA,NA,NA,NA,10,bench-error
2,5,256,40,sha3-512,8,mldsa_v2,fri,4,32,52,NA,NA,NA,NA,10,bench-error
2,5,256,65,sha3-512,8,rsa2048,stir,2,16,128,51543,2.46,626.8,4096,10,
2,5,256,65,sha3-512,8,rsa2048,stir,2,32,103,157396,2.04,511.5,4096,10,
2,5,256,65,sha3-512,8,rsa2048,stir,4,16,128,51550,2.35,676.4,4096,10,
2,5,256,65,sha3-512,8,rsa2048,stir,16,16,128,51543,3.11,762.2,4096,10,
2,5,256,65,sha3-512,8,mldsa_v2,stir,2,32,103,69051,337.57,53461.0,NA,10,
2,5,256,65,sha3-512,8,mldsa_v2,stir,4,32,103,NA,NA,NA,NA,10,bench-error
2,5,256,65,sha3-512,8,mldsa_v2,fri,4,32,52,NA,NA,NA,NA,10,bench-error
3,1,128,40,sha3-256,6,mldsa_v2,stir,2,64,43,52943,70.39,14771.3,NA,10,
3,1,128,40,sha3-256,6,ed25519,stir,2,16,64,55949,0.57,156.0,1024,10,
3,1,128,40,sha3-256,6,ed25519,stir,2,32,52,1538829,0.51,128.8,1024,10,
3,1,128,40,sha3-256,6,ed25519,stir,2,64,43,743760,0.45,108.4,1024,10,
3,3,192,40,sha3-384,6,mldsa_v2,stir,2,64,64,66985,145.05,27545.3,NA,10,
3,3,192,40,sha3-384,6,ed25519,stir,2,16,96,34695,1.17,345.7,1024,10,
3,3,192,40,sha3-384,6,ed25519,stir,2,32,77,1113303,0.97,281.5,1024,10,
3,3,192,40,sha3-384,6,ed25519,stir,2,64,64,554179,0.86,237.5,1024,10,
3,5,256,40,sha3-512,8,mldsa_v2,stir,2,64,86,144557,315.77,46994.9,NA,10,
3,5,256,40,sha3-512,8,ed25519,stir,2,16,128,41843,2.30,610.5,1024,10,
3,5,256,40,sha3-512,8,ed25519,stir,2,32,103,873573,2.00,498.3,1024,10,
3,5,256,40,sha3-512,8,ed25519,stir,2,64,86,2452070,1.69,422.0,1024,10,
1,1,128,40,sha3-256,6,ecdsa,fri,2,4,128,873,1.50,294.6,8,10,
1,1,128,40,sha3-256,6,ecdsa,fri,2,8,86,1670,1.15,229.1,8,10,
1,1,128,40,sha3-256,6,ecdsa,fri,2,16,64,3354,1.01,195.8,8,10,
1,1,128,40,sha3-256,6,ecdsa,fri,4,8,86,1618,0.79,176.6,8,10,
1,1,128,40,sha3-256,6,ecdsa,fri,8,8,86,1601,0.75,170.0,8,10,
1,1,128,40,sha3-256,6,mldsa_v2,fri,2,4,128,4992,342.40,67135.7,NA,10,
1,1,128,40,sha3-256,6,mldsa_v2,fri,2,8,86,9470,253.52,49009.2,NA,10,
1,1,128,40,sha3-256,6,mldsa_v2,fri,2,16,64,17876,208.82,38877.1,NA,10,
1,1,128,65,sha3-384,6,ecdsa,fri,2,4,128,849,1.81,396.7,8,10,
1,1,128,65,sha3-384,6,ecdsa,fri,2,8,86,1620,1.48,307.2,8,10,
1,1,128,65,sha3-384,6,ecdsa,fri,2,16,64,3319,1.31,261.9,8,10,
1,1,128,65,sha3-384,6,ecdsa,fri,4,8,86,1618,0.92,246.5,8,10,
1,1,128,65,sha3-384,6,ecdsa,fri,8,8,86,1664,0.94,242.6,8,10,
1,1,128,65,sha3-384,6,mldsa_v2,fri,2,4,128,5353,713.82,121405.1,NA,10,
1,1,128,65,sha3-384,6,mldsa_v2,fri,2,8,86,10085,531.76,88646.8,NA,10,
1,1,128,65,sha3-384,6,mldsa_v2,fri,2,16,64,19024,437.50,71086.9,NA,10,
1,1,128,90,sha3-512,6,ecdsa,fri,2,4,128,841,2.42,498.8,8,10,
1,1,128,90,sha3-512,6,ecdsa,fri,2,8,86,1614,1.99,385.2,8,10,
1,1,128,90,sha3-512,6,ecdsa,fri,2,16,64,3296,1.78,328.0,8,10,
1,1,128,90,sha3-512,6,ecdsa,fri,4,8,86,1622,1.30,316.5,8,10,
1,1,128,90,sha3-512,6,ecdsa,fri,8,8,86,1631,1.21,315.2,8,10,
1,1,128,90,sha3-512,6,mldsa_v2,fri,2,4,128,7054,1307.40,194218.9,NA,10,
1,1,128,90,sha3-512,6,mldsa_v2,fri,2,8,86,13245,960.36,142878.2,NA,10,
1,1,128,90,sha3-512,6,mldsa_v2,fri,2,16,64,25104,823.78,114677.3,NA,10,
1,3,192,40,sha3-384,6,ecdsa,fri,2,4,192,852,2.75,594.7,8,10,
1,3,192,40,sha3-384,6,ecdsa,fri,2,8,128,1630,2.21,456.8,8,10,
1,3,192,40,sha3-384,6,ecdsa,fri,2,16,96,3286,1.95,392.4,8,10,
1,3,192,40,sha3-384,6,ecdsa,fri,4,8,128,1610,1.37,366.6,8,10,
1,3,192,40,sha3-384,6,ecdsa,fri,8,8,128,1606,1.33,360.7,8,10,
1,3,192,40,sha3-384,6,mldsa_v2,fri,2,4,192,6410,787.14,136549.9,NA,10,
1,3,192,40,sha3-384,6,mldsa_v2,fri,2,8,128,12084,570.30,95549.1,NA,10,
1,3,192,40,sha3-384,6,mldsa_v2,fri,2,16,96,23250,478.28,76635.2,NA,10,
1,3,192,65,sha3-384,6,ecdsa,fri,2,4,192,863,2.74,594.7,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,fri,2,8,128,1651,2.18,456.8,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,fri,2,16,96,3363,2.01,392.4,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,fri,4,8,128,1627,1.38,366.6,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,ecdsa,fri,8,8,128,1635,1.34,360.7,8,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,fri,2,4,192,6408,797.81,136549.9,NA,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,fri,2,8,128,12126,571.46,95549.1,NA,10,at-wall(bind=185<192)
1,3,192,65,sha3-384,6,mldsa_v2,fri,2,16,96,23223,473.75,76635.2,NA,10,at-wall(bind=185<192)
1,3,192,90,sha3-512,6,ecdsa,fri,2,4,192,839,3.66,747.8,8,10,
1,3,192,90,sha3-512,6,ecdsa,fri,2,8,128,1648,2.94,572.9,8,10,
1,3,192,90,sha3-512,6,ecdsa,fri,2,16,96,3356,2.63,491.5,8,10,
1,3,192,90,sha3-512,6,ecdsa,fri,4,8,128,1682,1.92,470.7,8,10,
1,3,192,90,sha3-512,6,ecdsa,fri,8,8,128,1641,1.85,468.8,8,10,
1,3,192,90,sha3-512,6,mldsa_v2,fri,2,4,192,8603,1451.58,219952.4,NA,10,
1,3,192,90,sha3-512,6,mldsa_v2,fri,2,8,128,16006,1033.48,154369.2,NA,10,
1,3,192,90,sha3-512,6,mldsa_v2,fri,2,16,96,30767,857.39,123905.4,NA,10,
1,5,256,40,sha3-512,8,ecdsa,fri,2,4,256,847,4.87,996.8,8,10,
1,5,256,40,sha3-512,8,ecdsa,fri,2,8,171,1617,3.94,765.1,8,10,
1,5,256,40,sha3-512,8,ecdsa,fri,2,16,128,3358,3.70,655.0,8,10,
1,5,256,40,sha3-512,8,ecdsa,fri,4,8,171,1609,2.56,628.6,8,10,
1,5,256,40,sha3-512,8,ecdsa,fri,8,8,171,1628,2.39,626.0,8,10,
1,5,256,40,sha3-512,8,mldsa_v2,fri,2,4,256,14696,1696.53,250076.0,NA,10,
1,5,256,40,sha3-512,8,mldsa_v2,fri,2,8,171,28055,1253.18,179574.3,NA,10,
